--dc=256:16:16, bfs_pointer/bfs_pointer, 6098
--dc=128:32:16, bfs_pointer/bfs_pointer, 6164
--dc=64:64:16, bfs_pointer/bfs_pointer, 6149
--dc=8192:1:16, bfs_pointer/bfs_pointer, 5033
--dc=4096:2:16, bfs_pointer/bfs_pointer, 5033
--dc=2048:4:16, bfs_pointer/bfs_pointer, 5435
--dc=1024:8:16, bfs_pointer/bfs_pointer, 5505
--dc=512:16:16, bfs_pointer/bfs_pointer, 5512
--dc=256:32:16, bfs_pointer/bfs_pointer, 5512
--dc=128:64:16, bfs_pointer/bfs_pointer, 5625
--dc=16384:1:16, bfs_pointer/bfs_pointer, 5033
--dc=8192:2:16, bfs_pointer/bfs_pointer, 5005
--dc=4096:4:16, bfs_pointer/bfs_pointer, 5014
--dc=2048:8:16, bfs_pointer/bfs_pointer, 5202
--dc=1024:16:16, bfs_pointer/bfs_pointer, 5273
--dc=512:32:16, bfs_pointer/bfs_pointer, 5290
--dc=256:64:16, bfs_pointer/bfs_pointer, 5324
--dc=32768:1:16, bfs_pointer/bfs_pointer, 5033
--dc=16384:2:16, bfs_pointer/bfs_pointer, 5005
--dc=8192:4:16, bfs_pointer/bfs_pointer, 5004
--dc=4096:8:16, bfs_pointer/bfs_pointer, 5008
--dc=2048:16:16, bfs_pointer/bfs_pointer, 5086
--dc=1024:32:16, bfs_pointer/bfs_pointer, 5142
--dc=512:64:16, bfs_pointer/bfs_pointer, 5150
--dc=65536:1:16, bfs_pointer/bfs_pointer, 5033
--dc=32768:2:16, bfs_pointer/bfs_pointer, 5005
--dc=16384:4:16, bfs_pointer/bfs_pointer, 5004
--dc=8192:8:16, bfs_pointer/bfs_pointer, 5004
--dc=4096:16:16, bfs_pointer/bfs_pointer, 5004
--dc=2048:32:16, bfs_pointer/bfs_pointer, 5050
--dc=1024:64:16, bfs_pointer/bfs_pointer, 5061
--dc=131072:1:16, bfs_pointer/bfs_pointer, 5033
--dc=65536:2:16, bfs_pointer/bfs_pointer, 5005
--dc=32768:4:16, bfs_pointer/bfs_pointer, 5004
--dc=16384:8:16, bfs_pointer/bfs_pointer, 5004
--dc=8192:16:16, bfs_pointer/bfs_pointer, 5004
--dc=4096:32:16, bfs_pointer/bfs_pointer, 5004
--dc=2048:64:16, bfs_pointer/bfs_pointer, 5025
--dc=128:1:32, bfs_pointer/bfs_pointer, 6866
--dc=64:2:32, bfs_pointer/bfs_pointer, 6809
--dc=32:4:32, bfs_pointer/bfs_pointer, 6770
